riverlevel_id,riverstation_id,sampled_at,archived_at,level
1,1,2016-12-31 09:15:00,2017-01-04 09:19:50.778784,0.467
2,1,2016-12-31 09:30:00,2017-01-04 09:19:50.795383,0.466
3,1,2016-12-31 09:45:00,2017-01-04 09:19:50.803775,0.466
4,1,2016-12-31 10:00:00,2017-01-04 09:19:50.812096,0.466
5,1,2016-12-31 10:15:00,2017-01-04 09:19:50.820412,0.465
6,1,2016-12-31 10:30:00,2017-01-04 09:19:50.828703,0.465
7,1,2016-12-31 10:45:00,2017-01-04 09:19:50.83717,0.465
8,1,2016-12-31 11:00:00,2017-01-04 09:19:50.845947,0.464
9,1,2016-12-31 11:15:00,2017-01-04 09:19:50.85377,0.463
10,1,2016-12-31 11:30:00,2017-01-04 09:19:50.861896,0.463
11,1,2016-12-31 11:45:00,2017-01-04 09:19:50.870171,0.463
12,1,2016-12-31 12:00:00,2017-01-04 09:19:50.878502,0.463
13,1,2016-12-31 12:15:00,2017-01-04 09:19:50.886803,0.462
14,1,2016-12-31 12:30:00,2017-01-04 09:19:50.895113,0.461
15,1,2016-12-31 12:45:00,2017-01-04 09:19:50.903595,0.461
16,1,2016-12-31 13:00:00,2017-01-04 09:19:50.911949,0.461
17,1,2016-12-31 13:15:00,2017-01-04 09:19:50.920253,0.462
18,1,2016-12-31 13:30:00,2017-01-04 09:19:50.928564,0.463
19,1,2016-12-31 13:45:00,2017-01-04 09:19:50.936863,0.466
20,1,2016-12-31 14:00:00,2017-01-04 09:19:50.945204,0.468
21,1,2016-12-31 14:15:00,2017-01-04 09:19:50.953471,0.469
22,1,2016-12-31 14:30:00,2017-01-04 09:19:50.9618,0.471
23,1,2016-12-31 14:45:00,2017-01-04 09:19:50.970106,0.472
24,1,2016-12-31 15:00:00,2017-01-04 09:19:50.978452,0.474
25,1,2016-12-31 15:15:00,2017-01-04 09:19:50.986754,0.476
26,1,2016-12-31 15:30:00,2017-01-04 09:19:50.99504,0.479
27,1,2016-12-31 15:45:00,2017-01-04 09:19:51.003328,0.484
28,1,2016-12-31 16:00:00,2017-01-04 09:19:51.011639,0.492
29,1,2016-12-31 16:15:00,2017-01-04 09:19:51.020003,0.501
30,1,2016-12-31 16:30:00,2017-01-04 09:19:51.028302,0.508
31,1,2016-12-31 16:45:00,2017-01-04 09:19:51.036615,0.514
32,1,2016-12-31 17:00:00,2017-01-04 09:19:51.04491,0.521
33,1,2016-12-31 17:15:00,2017-01-04 09:19:51.053224,0.529
34,1,2016-12-31 17:30:00,2017-01-04 09:19:51.061508,0.539
35,1,2016-12-31 17:45:00,2017-01-04 09:19:51.069808,0.551
36,1,2016-12-31 18:00:00,2017-01-04 09:19:51.078126,0.564
37,1,2016-12-31 18:15:00,2017-01-04 09:19:51.086467,0.578
38,1,2016-12-31 18:30:00,2017-01-04 09:19:51.094775,0.592
39,1,2016-12-31 18:45:00,2017-01-04 09:19:51.10327,0.609
40,1,2016-12-31 19:00:00,2017-01-04 09:19:51.111552,0.629
41,1,2016-12-31 19:15:00,2017-01-04 09:19:51.11988,0.651
42,1,2016-12-31 19:30:00,2017-01-04 09:19:51.128184,0.677
43,1,2016-12-31 19:45:00,2017-01-04 09:19:51.13651,0.704
44,1,2016-12-31 20:00:00,2017-01-04 09:19:51.144823,0.731
45,1,2016-12-31 20:15:00,2017-01-04 09:19:51.153117,0.771
46,1,2016-12-31 20:30:00,2017-01-04 09:19:51.161411,0.797
47,1,2016-12-31 20:45:00,2017-01-04 09:19:51.169714,0.821
48,1,2016-12-31 21:00:00,2017-01-04 09:19:51.178012,0.839
49,1,2016-12-31 21:15:00,2017-01-04 09:19:51.186342,0.854
50,1,2016-12-31 21:30:00,2017-01-04 09:19:51.194655,0.869
51,1,2016-12-31 21:45:00,2017-01-04 09:19:51.202959,0.88
52,1,2016-12-31 22:00:00,2017-01-04 09:19:51.211269,0.889
53,1,2016-12-31 22:15:00,2017-01-04 09:19:51.219596,0.895
54,1,2016-12-31 22:30:00,2017-01-04 09:19:51.227987,0.901
55,1,2016-12-31 22:45:00,2017-01-04 09:19:51.236251,0.903
56,1,2016-12-31 23:00:00,2017-01-04 09:19:51.244642,0.903
57,1,2016-12-31 23:15:00,2017-01-04 09:19:51.252883,0.905
58,1,2016-12-31 23:30:00,2017-01-04 09:19:51.261256,0.901
59,1,2016-12-31 23:45:00,2017-01-04 09:19:51.269486,0.901
60,1,2017-01-01 00:00:00,2017-01-04 09:19:51.277775,0.899
61,1,2017-01-01 00:15:00,2017-01-04 09:19:51.286128,0.897
62,1,2017-01-01 00:30:00,2017-01-04 09:19:51.29442,0.893
63,1,2017-01-01 00:45:00,2017-01-04 09:19:51.302711,0.887
64,1,2017-01-01 01:00:00,2017-01-04 09:19:51.311019,0.879
65,1,2017-01-01 01:15:00,2017-01-04 09:19:51.31933,0.872
66,1,2017-01-01 01:30:00,2017-01-04 09:19:51.327636,0.868
67,1,2017-01-01 01:45:00,2017-01-04 09:19:51.336029,0.859
68,1,2017-01-01 02:00:00,2017-01-04 09:19:51.344319,0.858
69,1,2017-01-01 02:15:00,2017-01-04 09:19:51.352666,0.85
70,1,2017-01-01 02:30:00,2017-01-04 09:19:51.360945,0.844
71,1,2017-01-01 02:45:00,2017-01-04 09:19:51.369381,0.832
72,1,2017-01-01 03:00:00,2017-01-04 09:19:51.377664,0.826
73,1,2017-01-01 03:15:00,2017-01-04 09:19:51.385985,0.821
74,1,2017-01-01 03:30:00,2017-01-04 09:19:51.394288,0.812
75,1,2017-01-01 03:45:00,2017-01-04 09:19:51.402599,0.807
76,1,2017-01-01 04:00:00,2017-01-04 09:19:51.410914,0.801
77,1,2017-01-01 04:15:00,2017-01-04 09:19:51.419225,0.794
78,1,2017-01-01 04:30:00,2017-01-04 09:19:51.427526,0.788
79,1,2017-01-01 04:45:00,2017-01-04 09:19:51.435884,0.78
80,1,2017-01-01 05:00:00,2017-01-04 09:19:51.444181,0.775
81,1,2017-01-01 05:15:00,2017-01-04 09:19:51.452702,0.767
